RX: /dev/ttyUSB0, TX: /dev/ttyUSB1
[0000023100] [DS:13|CON: NO] a<--b 3a|00|4f|b2|05|00|4b|02|00|02|00|46|00|00|00|00|00|00|36|51|67|35|64|46|44|76|61|4c|63|35|56|42|63|64|56|67|5a|41|70|57|59|53|79|51|47|6c|39|4d|68|79|d5|a5|91|4d|f5|3b|39|f1|dc|4f|f5|d9|14|a6|4a|0a|ab|e4|9e|32|94|c7|86|f5|c6|2c|d6|a0|e1|9b|57|d7|0a
[0000023138] [DS:13|CON: NO] a-->b 3a|00|18|b2|01|00|14|00|00|42|00|0f|90|78|56|34|12|89|67|45|23|01|23|00|00|00|00|0a
[0000023148] [DS:13|CON: NO] a-->b 3a|00|0b|b2|00|00|07|00|00|41|00|02|1f|07|0a
[0000023176] [DS:13|CON: NO] a-->b 3a|00|27|b2|0a|00|23|00|0f|00|00|1e|4b|6f|68|61|2e|2c|43|6f|20|20|53|41|56|4c|30|31|39|31|20|20|ff|00|00|a2|00|01|01|06|00|80|0a
[0000023184] [DS:13|CON: NO] a-->b 3a|00|0a|b2|06|00|06|02|00|02|00|01|00|0a
[0000023279] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|bc|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|0a
[0000023385] [DS:13|CON: NO] a<--b 3a|00|03|b4|01|13|0a
[0000023420] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|0a
[0000023428] [DS:13|CON: NO] a-->b 3a|00|06|b3|03|30|00|64|32|0a
[0000023432] [DS:13|CON: NO] a-->b 3a|00|02|b2|00|0a
[0000023435] [DS:13|CON: NO] a-->b 3a|00|02|b2|01|0a
[0000023438] [DS:13|CON: NO] a-->b 3a|00|02|b2|06|0a
[0000023442] [DS:13|CON: NO] a-->b 3a|00|02|b2|07|0a
[0000023446] [DS:13|CON: NO] a-->b 3a|00|02|b2|03|0a
[0000023450] [DS:13|CON: NO] a-->b 3a|00|02|b2|04|0a
[0000023453] [DS:13|CON: NO] a-->b 3a|00|02|b2|0a|0a
[0000023709] [DS:13|CON: NO] a<--b 3a|00|03|b4|00|00|0a
[0000023723] [DS:13|CON: NO] a-->b 3a|00|06|b3|05|33|00|64|32|0a
[0000025698] [DS:13|CON: NO] a<--b 3a|00|16|b2|05|00|12|00|00|06|00|0a|e2|99|92|99|92|f9|c0|07|00|00|ff|00|00|0a
7seg setting: seq(00)
[0000026361] [DS:13|CON: NO] a<--b 3a|00|09|b2|05|00|05|01|00|01|00|00|0a
auth init: seq(01)
[0000026388] [DS:13|CON: NO] a-->b 3a|00|1a|b2|06|00|16|01|00|01|00|11|00|4c|41|f3|10|4c|41|f3|10|57|6d|ff|64|a4|82|f0|a4|0a
[0000026469] [DS:13|CON: NO] a<--b 3a|00|4f|b2|05|00|4b|02|00|02|00|46|00|00|00|00|00|00|36|51|67|35|64|46|44|76|61|4c|63|35|56|42|63|64|56|67|5a|41|70|57|59|53|79|51|47|6c|39|4d|68|79|e1|e1|42|55|cb|ec|cf|80|3b|b1|ed|97|93|97|5a|d2|25|43|8e|fe|46|88|fd|0a|bd|0a|a9|f7|ce|89|86|5b|0a
[0000026510] [DS:13|CON: NO] a-->b 3a|00|18|b2|01|00|14|00|00|42|00|0f|90|78|56|34|12|89|67|45|23|01|23|00|00|00|00|0a
[0000026519] [DS:13|CON: NO] a-->b 3a|00|0b|b2|00|00|07|00|00|41|00|02|1f|07|0a
[0000026547] [DS:13|CON: NO] a-->b 3a|00|27|b2|0a|00|23|00|0f|00|00|1e|4b|6f|68|61|2e|2c|43|6f|20|20|53|41|56|4c|30|31|39|31|20|20|ff|00|00|a2|00|01|01|06|00|80|0a
[0000026558] [DS:13|CON: NO] a-->b 3a|00|0a|b2|06|00|06|02|00|02|00|01|00|0a
[0000026605] [DS:13|CON: NO] a<--b 3a|00|09|b2|08|00|05|03|00|08|00|00|0a
[0000026648] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|e1|07|16|00|e1|07|16|00|41|04|46|00|00|00|00|00|e1|07|16|00|00|00|00|00|e1|0a
[0000026674] [DS:13|CON: NO] a-->b 3a|00|0a|b2|09|00|06|00|00|08|00|01|00|0a
[0000026690] [DS:13|CON: NO] a-->b 3a|00|15|b2|0a|00|11|00|24|f7|33|b1|d1|52|8f|92|2c|77|ce|41|dc|c7|7b|0a|0a
[0000026717] [DS:13|CON: NO] a<--b 3a|00|03|b4|01|13|0a
[0000026752] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|0a
[0000026760] [DS:13|CON: NO] a-->b 3a|00|06|b3|03|30|00|64|32|0a
[0000026764] [DS:13|CON: NO] a-->b 3a|00|02|b2|00|0a
[0000026767] [DS:13|CON: NO] a-->b 3a|00|02|b2|01|0a
[0000026770] [DS:13|CON: NO] a-->b 3a|00|02|b2|06|0a
[0000026774] [DS:13|CON: NO] a-->b 3a|00|02|b2|07|0a
[0000026778] [DS:13|CON: NO] a-->b 3a|00|02|b2|03|0a
[0000026781] [DS:13|CON: NO] a-->b 3a|00|02|b2|04|0a
[0000026784] [DS:13|CON: NO] a-->b 3a|00|02|b2|0a|0a
[0000027167] [DS:13|CON: NO] a<--b 3a|00|03|b4|00|00|0a
[0000027181] [DS:13|CON: NO] a-->b 3a|00|06|b3|05|33|00|64|32|0a
[0000029136] [DS:13|CON: NO] a<--b 3a|00|16|b2|05|00|12|00|00|06|00|0a|e2|99|92|99|92|f9|c0|07|00|00|ff|00|00|0a
7seg setting: seq(00)
[0000029152] [DS:13|CON: NO] a-->b 3a|00|0a|b2|06|00|06|00|00|06|00|01|00|0a
[0000029760] [DS:13|CON: NO] a<--b 3a|00|09|b2|05|00|05|01|00|01|00|00|0a
auth init: seq(01)
[0000029786] [DS:13|CON: NO] a-->b 3a|00|1a|b2|06|00|16|01|00|01|00|11|00|14|c7|a1|35|14|c7|a1|35|14|c7|a1|35|14|c7|a1|35|0a
[0000029867] [DS:13|CON: NO] a<--b 3a|00|4f|b2|05|00|4b|02|00|02|00|46|00|00|00|00|00|00|36|51|67|35|64|46|44|76|61|4c|63|35|56|42|63|64|56|67|5a|41|70|57|59|53|79|51|47|6c|39|4d|68|79|67|9b|a6|15|67|d1|98|29|65|4e|b3|f5|a6|a9|7c|63|0c|81|5f|36|eb|a0|ac|93|1e|35|0b|a5|43|40|bb|52|0a
[0000029905] [DS:13|CON: NO] a-->b 3a|00|18|b2|01|00|14|00|00|42|00|0f|90|78|56|34|12|89|67|45|23|01|23|00|00|00|00|0a
[0000029915] [DS:13|CON: NO] a-->b 3a|00|0b|b2|00|00|07|00|00|41|00|02|1f|07|0a
[0000029943] [DS:13|CON: NO] a-->b 3a|00|27|b2|0a|00|23|00|0f|00|00|1e|4b|6f|68|61|2e|2c|43|6f|20|20|53|41|56|4c|30|31|39|31|20|20|ff|00|00|a2|00|01|01|06|00|80|0a
[0000029953] [DS:13|CON: NO] a-->b 3a|00|0a|b2|06|00|06|02|00|02|00|01|00|0a
[0000030023] [DS:13|CON: NO] a<--b 3a|00|09|b2|08|00|05|03|00|08|00|00|0a
[0000030047] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|21|15|16|00|21|15|16|00|41|04|46|00|00|00|00|00|21|15|16|00|00|00|00|00|21|0a
[0000030072] [DS:13|CON: NO] a-->b 3a|00|0a|b2|09|00|06|00|00|08|00|01|00|0a
[0000030088] [DS:13|CON: NO] a-->b 3a|00|15|b2|0a|00|11|00|24|f7|33|b1|d1|52|8f|92|2c|77|ce|41|dc|c7|7b|0a|0a
[0000030116] [DS:13|CON: NO] a<--b 3a|00|03|b4|01|13|0a
[0000030150] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|0a
[0000030158] [DS:13|CON: NO] a-->b 3a|00|06|b3|03|30|00|64|32|0a
[0000030162] [DS:13|CON: NO] a-->b 3a|00|02|b2|00|0a
[0000030165] [DS:13|CON: NO] a-->b 3a|00|02|b2|01|0a
[0000030168] [DS:13|CON: NO] a-->b 3a|00|02|b2|06|0a
[0000030172] [DS:13|CON: NO] a-->b 3a|00|02|b2|07|0a
[0000030176] [DS:13|CON: NO] a-->b 3a|00|02|b2|03|0a
[0000030179] [DS:13|CON: NO] a-->b 3a|00|02|b2|04|0a
[0000030183] [DS:13|CON: NO] a-->b 3a|00|02|b2|0a|0a
[0000030574] [DS:13|CON: NO] a<--b 3a|00|03|b4|00|00|0a
[0000030589] [DS:13|CON: NO] a-->b 3a|00|06|b3|05|33|00|64|32|0a
[0000030712] [DS:13|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000032542] [DS:13|CON: NO] a<--b 3a|00|16|b2|05|00|12|00|00|06|00|0a|e2|99|92|99|92|f9|c0|07|00|00|ff|00|00|0a
7seg setting: seq(00)
[0000032560] [DS:13|CON: NO] a-->b 3a|00|0a|b2|06|00|06|00|00|06|00|01|00|0a
[0000033878] [DS:13|CON: NO] a<--b 3a|00|09|b2|05|00|05|01|00|01|00|00|0a
auth init: seq(01)
[0000033902] [DS:13|CON: NO] a-->b 3a|00|1a|b2|06|00|16|01|00|01|00|11|00|14|c7|a1|35|00|8b|0a|ff|00|8b|0a|ff|b5|76|7f|ea|0a
[0000033967] [DS:13|CON: NO] a<--b 3a|00|4f|b2|05|00|4b|02|00|02|00|46|00|00|00|00|00|00|36|51|67|35|64|46|44|76|61|4c|63|35|56|42|63|64|56|67|5a|41|70|57|59|53|79|51|47|6c|39|4d|68|79|b3|0a|77|24|02|0e|32|19|8f|38|7c|07|b2|17|db|9a|7e|7c|89|b2|7a|1a|e5|5c|85|a4|ce|2e|77|f6|e0|2e|0a
[0000034004] [DS:13|CON: NO] a-->b 3a|00|18|b2|01|00|14|00|00|42|00|0f|90|78|56|34|12|89|67|45|23|01|23|00|00|00|00|0a
[0000034015] [DS:13|CON: NO] a-->b 3a|00|0b|b2|00|00|07|00|00|41|00|02|1f|07|0a
[0000034043] [DS:13|CON: NO] a-->b 3a|00|27|b2|0a|00|23|00|0f|00|00|1e|4b|6f|68|61|2e|2c|43|6f|20|20|53|41|56|4c|30|31|39|31|20|20|ff|00|00|a2|00|01|01|06|00|80|0a
[0000034052] [DS:13|CON: NO] a-->b 3a|00|0a|b2|06|00|06|02|00|02|00|01|00|0a
[0000034121] [DS:13|CON: NO] a<--b 3a|00|09|b2|08|00|05|03|00|08|00|00|0a
[0000034145] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|1e|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|0a
[0000034171] [DS:13|CON: NO] a-->b 3a|00|0a|b2|09|00|06|00|00|08|00|01|00|0a
[0000034187] [DS:13|CON: NO] a-->b 3a|00|15|b2|0a|00|11|00|24|f7|33|b1|d1|52|8f|92|2c|77|ce|41|dc|c7|7b|0a|0a
[0000034197] [DS:13|CON: NO] a<--b 3a|00|03|b4|01|13|0a
[0000034230] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|0a
[0000034238] [DS:13|CON: NO] a-->b 3a|00|06|b3|03|30|00|64|32|0a
[0000034242] [DS:13|CON: NO] a-->b 3a|00|02|b2|00|0a
[0000034245] [DS:13|CON: NO] a-->b 3a|00|02|b2|01|0a
[0000034248] [DS:13|CON: NO] a-->b 3a|00|02|b2|06|0a
[0000034252] [DS:13|CON: NO] a-->b 3a|00|02|b2|07|0a
[0000034256] [DS:13|CON: NO] a-->b 3a|00|02|b2|03|0a
[0000034259] [DS:13|CON: NO] a-->b 3a|00|02|b2|04|0a
[0000034263] [DS:13|CON: NO] a-->b 3a|00|02|b2|0a|0a
[0000034617] [DS:13|CON: NO] a<--b 3a|00|03|b4|00|00|0a
[0000034632] [DS:13|CON: NO] a-->b 3a|00|06|b3|05|33|00|64|32|0a
[0000034904] [DS:13|CON: NO] a<--b 3a|00|03|b4|01|3e|0a
[0000034916] [DS:3E|CON: NO] a-->b 3a|00|06|b3|03|30|00|64|32|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000034920] [DS:3E|CON: NO] a-->b 3a|00|02|b2|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000034923] [DS:3E|CON: NO] a-->b 3a|00|02|b2|01|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000034926] [DS:3E|CON: NO] a-->b 3a|00|02|b2|06|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000034930] [DS:3E|CON: NO] a-->b 3a|00|02|b2|07|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000034934] [DS:3E|CON: NO] a-->b 3a|00|02|b2|03|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000034938] [DS:3E|CON: NO] a-->b 3a|00|02|b2|04|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000034942] [DS:3E|CON: NO] a-->b 3a|00|02|b2|0a|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000035711] [DS:3E|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000040711] [DS:3E|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000045712] [DS:3E|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000050711] [DS:3E|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000055711] [DS:3E|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000059423] [DS:3E|CON: NO] a<--b 3a|00|03|b4|00|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000059437] [DS:3E|CON: NO] a-->b 3a|00|06|b3|05|33|01|64|32|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000060712] [DS:3E|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000061436] [DS:3E|CON: NO] a<--b 3a|00|16|b2|05|00|12|00|00|06|00|0a|e2|99|92|99|92|f9|c0|07|00|00|ff|00|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
7seg setting: seq(00)
[0000061452] [DS:3E|CON: NO] a-->b 3a|00|0a|b2|06|00|06|00|00|06|00|01|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000061870] [DS:3E|CON: NO] a<--b 3a|00|09|b2|05|00|05|01|00|01|00|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
auth init: seq(01)
[0000061896] [DS:3E|CON: NO] a-->b 3a|00|1a|b2|06|00|16|01|00|01|00|11|00|b5|76|7f|ea|4a|5d|27|8e|4a|5d|27|8e|4a|5d|27|8e|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000061960] [DS:3E|CON: NO] a<--b 3a|00|4f|b2|05|00|4b|02|00|02|00|46|00|00|00|00|00|00|36|51|67|35|64|46|44|76|61|4c|63|35|56|42|63|64|56|67|5a|41|70|57|59|53|79|51|47|6c|39|4d|68|79|75|63|7d|4e|3c|a6|39|77|b7|58|8f|49|3d|b7|e2|13|05|45|46|d7|0a|1e|97|b4|64|76|27|d9|4b|fe|5d|70|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000061999] [DS:3E|CON: NO] a-->b 3a|00|18|b2|01|00|14|00|00|42|00|0f|90|78|56|34|12|89|67|45|23|01|23|00|00|00|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000062008] [DS:3E|CON: NO] a-->b 3a|00|0b|b2|00|00|07|00|00|41|00|02|1f|07|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000062037] [DS:3E|CON: NO] a-->b 3a|00|27|b2|0a|00|23|00|0f|00|00|1e|4b|6f|68|61|2e|2c|43|6f|20|20|53|41|56|4c|30|31|39|31|20|20|ff|00|00|a2|00|01|01|06|00|80|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000062045] [DS:3E|CON: NO] a-->b 3a|00|0a|b2|06|00|06|02|00|02|00|01|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000062076] [DS:3E|CON: NO] a<--b 3a|00|09|b2|08|00|05|03|00|08|00|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000062098] [DS:3E|CON: NO] a-->b 3a|00|0a|b2|09|00|06|00|00|08|00|01|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000062114] [DS:3E|CON: NO] a-->b 3a|00|15|b2|0a|00|11|00|24|f7|33|b1|d1|52|8f|92|2c|77|ce|41|dc|c7|7b|0a|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
